concept_id,ku_synonym_text,lang_tag
386661006,ตัวร้อน,ku
34095006,ภาวะขาดน้ำ,ku
34095006,Dehydration,ku
389026000,ท้องมาน,ku
389026000,มีน้ำในช่องท้อง,ku
418363000,คัน,ku
418363000,อาการคัน,ku
278040002,ขนร่วง,ku
278040002,Alopecia,ku
346301000009105,ผิวหนังอักเสบ,ku
346301000009105,Dermatitis,ku
47505003,หูชั้นนอกอักเสบ,ku
271737000,ภาวะโลหิตจาง,ku
271737000,เลือดจาง,ku
88981003,มดลูกอักเสบเป็นหนอง,ku
88981003,Pyometra,ku
311151000009109,เต้านมอักเสบ,ku
311151000009109,Mastitis,ku
289261003,คลอดยาก,ku
289261003,คลอดไม่ออก,ku
289261003,Dystocia,ku
